,hash_id,model_name,config,r,config_str
237,c2635675a9538dda5ce2897b6338ff5e,ddpg,"{'learning_rate': 0.001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 1, 'action_noise': 'normal', 'name': 'variant_8'}",-0.45459899999999986,24bbeb3c0d7b5a36320ccfb190992736
238,33279a7734cd70d229366eaa1d634042,sac,"{'learning_rate': 1e-05, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant_8'}",0.0,a5029bd0e3704537456c39500aee9b06
239,c89cbc7a9f3e0d3e9746aa6fdea4774a,td3,"{'learning_rate': 0.0001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_8'}",-0.45459899999999986,788269b22382ab194784430ba8ff7612
240,beb93a3a38d4a7117f9f89782df61bcf,a2c,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': True, 'use_rms_prop': True, 'name': 'variant_9'}",-0.012029199999999962,0d1898d092ec5870c9a553f2f3c85795
241,ed428464761cbe6a27c6ae3d140d5a4b,ppo,"{'learning_rate': 1e-05, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.99, 'ent_coef': 1e-05, 'clip_range': 0.3, 'gae_lambda': 0.98, 'name': 'variant_9'}",3.4188037000000033,f890df1ab1cf0a1299a0aed6d0ec37e8
242,4eb60a20438d633dd487e0568022d641,ddpg,"{'learning_rate': 0.001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 1, 'action_noise': 'normal', 'name': 'variant_9'}",-0.45459899999999986,24bbeb3c0d7b5a36320ccfb190992736
243,f5a8d98837767251349eddaf26542e24,sac,"{'learning_rate': 1e-05, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant_9'}",-0.45459899999999986,a5029bd0e3704537456c39500aee9b06
244,be871ea33c65ffb4ae16741575720034,td3,"{'learning_rate': 0.0001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_9'}",-0.45459899999999986,788269b22382ab194784430ba8ff7612
245,5d211ccd700456e201e40de0b7450bbd,a2c,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': True, 'use_rms_prop': True, 'name': 'variant_10'}",0.0,0d1898d092ec5870c9a553f2f3c85795
246,579ae90e620dc34c75c89aea1f5d9e6a,ppo,"{'learning_rate': 1e-05, 'n_steps': 1024, 'batch_size': 64, 'gamma': 0.99, 'ent_coef': 1e-05, 'clip_range': 0.3, 'gae_lambda': 0.98, 'name': 'variant_10'}",7.172445500000004,f890df1ab1cf0a1299a0aed6d0ec37e8
247,8b298c9720a226c46202255b7ad1a481,ddpg,"{'learning_rate': 0.001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 1, 'action_noise': 'normal', 'name': 'variant_10'}",0.0,24bbeb3c0d7b5a36320ccfb190992736
248,763cf954d8ed82c9604900dd5f08dec7,sac,"{'learning_rate': 1e-05, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant_10'}",0.0,a5029bd0e3704537456c39500aee9b06
249,e04c85f0309d4bca7e1abb7f74af3450,td3,"{'learning_rate': 0.0001, 'batch_size': 64, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant_10'}",-0.45459899999999986,788269b22382ab194784430ba8ff7612
