,mode,model_type,trial,episode,return,hash_id,config,config_str
17,training,model_6,3,6,0.5873479501066334,a083f2f11daacec12531d8935983e77c,"{'learning_rate': 0.0010002, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:3'}",c5abcdfe259f45da504ddf89e16a9425
18,training,model_6,4,1,0.3542937737924772,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
19,training,model_6,4,2,2.293128714837978,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
20,training,model_6,4,3,1.3754774923151434,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
21,training,model_6,4,4,-0.0532048587428523,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
22,training,model_6,4,5,-0.1129324522983347,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
23,training,model_6,4,6,0.3426787097662465,8b799e324ac87d62bd81e3162cfdd840,"{'learning_rate': 0.0010003, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:4'}",5faba013d815c06d8cf4b9f41813c5fa
24,training,model_6,5,1,1.2880525507240699,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
25,training,model_6,5,2,0.6914296745999591,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
26,training,model_6,5,3,0.4561542356401882,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
27,training,model_6,5,4,2.2137449710014083,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
28,training,model_6,5,5,0.6061113540866856,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
29,training,model_6,5,6,1.3851502592995901,7b9a9fe021a49a5bd3f70bb734b277dd,"{'learning_rate': 0.0010004, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:5'}",96024e29dfc12629efceee59fd811c3e
30,training,model_6,6,1,-0.056727330728677194,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
31,training,model_6,6,2,3.2434083789479473,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
32,training,model_6,6,3,1.65806059192927,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
33,training,model_6,6,4,0.45733821672763253,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
34,training,model_6,6,5,1.628844487106242,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
35,training,model_6,6,6,2.9631398931557973,81c57244c5a5b3ca9515296fc7353f79,"{'learning_rate': 0.0010005, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:6'}",79918ed095e559ca4d5cbcb9d56abbc0
36,training,model_6,7,1,1.1183883314814196,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
37,training,model_6,7,2,0.6963914442921331,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
38,training,model_6,7,3,1.7697119031763404,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
39,training,model_6,7,4,1.4155930341460143,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
40,training,model_6,7,5,2.3386601419523076,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
