,mode,model_type,trial,episode,return,hash_id,config,config_str
435,training,a2c,9,8,1.9354403746681563,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
440,training,a2c,9,9,1.1266887489519566,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
445,training,a2c,9,10,0.11066326150289996,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
450,training,a2c,10,1,-0.23868040560079562,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
455,training,a2c,10,2,0.12131262196983683,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
460,training,a2c,10,3,-0.1512842863012105,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
465,training,a2c,10,4,0.16171565675734456,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
470,training,a2c,10,5,-0.3251061412722017,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
475,training,a2c,10,6,-0.3973524287056025,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
480,training,a2c,10,7,-0.17079074417956575,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
485,training,a2c,10,8,-0.3664077779734226,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
490,training,a2c,10,9,-0.3536838273393138,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
495,training,a2c,10,10,0.2256177441464029,88bc0a77cc5088ef08274bd223b3541e,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:10'}",8fd30e9e3ac142eb630843abeeb09434
2,training,ddpg,1,1,0.34647621492673775,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
7,training,ddpg,1,2,0.49051438248527734,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
12,training,ddpg,1,3,0.6766181729883844,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
17,training,ddpg,1,4,0.7710734169777651,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
22,training,ddpg,1,5,0.8112822179299728,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
27,training,ddpg,1,6,0.8429437976278722,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
32,training,ddpg,1,7,0.6415179916800817,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
37,training,ddpg,1,8,0.5559436799133701,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
42,training,ddpg,1,9,0.576844087785787,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
47,training,ddpg,1,10,0.19746979957082922,f221f28195fff9c70abe0626ac050910,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:1'}",2a2d96cad0fe1dac6fdf93f8a741d677
52,training,ddpg,2,1,-0.17409113516332564,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
57,training,ddpg,2,2,0.7716970580044187,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
62,training,ddpg,2,3,0.7621583918928512,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
67,training,ddpg,2,4,0.7823758986296947,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
72,training,ddpg,2,5,0.9478651462322636,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
77,training,ddpg,2,6,1.2125592647179708,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
82,training,ddpg,2,7,1.1974187159848335,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
87,training,ddpg,2,8,1.2616720580638057,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
92,training,ddpg,2,9,1.06678873421292,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
97,training,ddpg,2,10,1.8863787791882007,5eea31dc2c0141b5dadae06181a79eff,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:2'}",2a2d96cad0fe1dac6fdf93f8a741d677
102,training,ddpg,3,1,1.1202423167699034,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
107,training,ddpg,3,2,1.646999764345206,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
112,training,ddpg,3,3,0.864048550030452,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
117,training,ddpg,3,4,0.813567090367117,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
122,training,ddpg,3,5,0.76910147737806,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
127,training,ddpg,3,6,0.7703071500479062,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
132,training,ddpg,3,7,0.8380794504203792,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
137,training,ddpg,3,8,1.0912128686158904,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
142,training,ddpg,3,9,0.8433347312592481,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
147,training,ddpg,3,10,4.9017819311297615,fd8127780f44f1ed6898a9c24cd7cb07,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:3'}",2a2d96cad0fe1dac6fdf93f8a741d677
152,training,ddpg,4,1,0.355112902899134,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
157,training,ddpg,4,2,0.9284597459826238,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
162,training,ddpg,4,3,0.9257289460743732,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
167,training,ddpg,4,4,0.92550475277782,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
172,training,ddpg,4,5,0.9266127567063935,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
177,training,ddpg,4,6,0.9282629463578478,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
182,training,ddpg,4,7,0.9103031299472248,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
187,training,ddpg,4,8,0.9174359597073536,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
192,training,ddpg,4,9,0.9226609174772826,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
197,training,ddpg,4,10,1.134413319368841,bc1d9f07a5d1824f241f3c603771a4b0,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:4'}",2a2d96cad0fe1dac6fdf93f8a741d677
202,training,ddpg,5,1,-0.04988531748165159,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
207,training,ddpg,5,2,0.7485762199599653,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
212,training,ddpg,5,3,0.8095740117535903,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
217,training,ddpg,5,4,0.7460347586822298,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
222,training,ddpg,5,5,0.7476960846798706,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
227,training,ddpg,5,6,0.7869641982487652,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
232,training,ddpg,5,7,0.7799548124244227,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
237,training,ddpg,5,8,0.7534788126644192,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
242,training,ddpg,5,9,0.7531172347233508,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
247,training,ddpg,5,10,0.7284302580348763,1c7c87647b579bbfb5168f206706d38c,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:5'}",2a2d96cad0fe1dac6fdf93f8a741d677
252,training,ddpg,6,1,0.16679546080941288,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
257,training,ddpg,6,2,0.9302618431609431,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
262,training,ddpg,6,3,0.9251294454484518,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
267,training,ddpg,6,4,0.8919797050228502,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
272,training,ddpg,6,5,0.9314750707345025,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
277,training,ddpg,6,6,0.09872641952683536,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
282,training,ddpg,6,7,-0.13383422177334126,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
287,training,ddpg,6,8,0.712317452473783,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
292,training,ddpg,6,9,0.8808409919237761,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
297,training,ddpg,6,10,0.8338673190701469,08206047a3bf9645f21e24b0c86f687e,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:6'}",2a2d96cad0fe1dac6fdf93f8a741d677
302,training,ddpg,7,1,0.9649393615198609,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
307,training,ddpg,7,2,0.506079214265027,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
312,training,ddpg,7,3,-0.03400862279733918,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
317,training,ddpg,7,4,0.043363226224270024,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
322,training,ddpg,7,5,0.05928618305130251,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
327,training,ddpg,7,6,0.03805061102726781,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
332,training,ddpg,7,7,-0.12808847011273838,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
337,training,ddpg,7,8,-0.012878874691125586,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
342,training,ddpg,7,9,0.02224868773099753,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
347,training,ddpg,7,10,1.598001404270423,07aa23a758b81289e668dca332323cb2,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:7'}",2a2d96cad0fe1dac6fdf93f8a741d677
352,training,ddpg,8,1,0.5843594885313039,2f7227f81be8f793a1b5dad1cfb63a36,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:8'}",2a2d96cad0fe1dac6fdf93f8a741d677
357,training,ddpg,8,2,0.5644304727547784,2f7227f81be8f793a1b5dad1cfb63a36,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:8'}",2a2d96cad0fe1dac6fdf93f8a741d677
362,training,ddpg,8,3,0.5714998251376313,2f7227f81be8f793a1b5dad1cfb63a36,"{'learning_rate': 0.0001, 'batch_size': 128, 'buffer_size': 1000000, 'tau': 0.005, 'gamma': 0.99, 'train_freq': 10, 'action_noise': 'normal', 'name': 'variant:8'}",2a2d96cad0fe1dac6fdf93f8a741d677
