,mode,model_type,trial,episode,return,hash_id,config,config_str
90,training,a2c,2,9,-0.3690940763801269,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
95,training,a2c,2,10,1.9057866664366019,3958c0bd3a3781323d9e4d5b42b8a902,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:2'}",8fd30e9e3ac142eb630843abeeb09434
100,training,a2c,3,1,-0.19851637329931404,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
105,training,a2c,3,2,-0.5859921339906905,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
110,training,a2c,3,3,0.4358764911593789,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
115,training,a2c,3,4,1.9078240482099695,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
120,training,a2c,3,5,1.4429434997654624,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
125,training,a2c,3,6,1.1496417516296846,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
130,training,a2c,3,7,1.606406029846433,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
135,training,a2c,3,8,2.294771598738969,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
140,training,a2c,3,9,2.29752408251194,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
145,training,a2c,3,10,1.742343102204304,f365b0cef236517b16f514ac3343c13d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:3'}",8fd30e9e3ac142eb630843abeeb09434
150,training,a2c,4,1,-0.44711190048612315,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
155,training,a2c,4,2,1.0330366286615256,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
160,training,a2c,4,3,0.07115383944758258,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
165,training,a2c,4,4,4.177437551347461,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
170,training,a2c,4,5,4.617266638981026,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
175,training,a2c,4,6,2.0637367885810463,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
180,training,a2c,4,7,2.1655089345939125,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
185,training,a2c,4,8,1.396925032880874,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
190,training,a2c,4,9,1.8905704930837435,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
195,training,a2c,4,10,2.7790178188346784,2467d51f4effa0847e01a481a7db2d18,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:4'}",8fd30e9e3ac142eb630843abeeb09434
200,training,a2c,5,1,0.03367025224669273,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
205,training,a2c,5,2,0.5203050378525451,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
210,training,a2c,5,3,-0.16254905928433494,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
215,training,a2c,5,4,-0.04273011018852402,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
220,training,a2c,5,5,-0.16154792550245345,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
225,training,a2c,5,6,0.39386506519389,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
230,training,a2c,5,7,0.8649676758701712,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
235,training,a2c,5,8,0.5202188387587598,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
240,training,a2c,5,9,0.4130954364737649,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
245,training,a2c,5,10,0.30307262291617265,4f50826161486e5b62ff987e7f3fa7fd,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:5'}",8fd30e9e3ac142eb630843abeeb09434
250,training,a2c,6,1,1.7429420395542272,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
255,training,a2c,6,2,-0.011691624082188046,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
260,training,a2c,6,3,0.7508228966452422,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
265,training,a2c,6,4,0.7091046758385657,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
270,training,a2c,6,5,2.9031725435783247,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
275,training,a2c,6,6,-0.3604785882268796,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
280,training,a2c,6,7,0.8774103492423388,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
285,training,a2c,6,8,0.6799942704074047,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
290,training,a2c,6,9,-0.08738256909118136,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
295,training,a2c,6,10,-0.24452611375002586,a8f58d57b2b783e9579eaa2674301fa9,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:6'}",8fd30e9e3ac142eb630843abeeb09434
300,training,a2c,7,1,0.46406189987343205,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
305,training,a2c,7,2,1.6395278648856486,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
310,training,a2c,7,3,4.113967415905046,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
315,training,a2c,7,4,1.9072746437514652,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
320,training,a2c,7,5,1.3450701678555372,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
325,training,a2c,7,6,1.001049733228775,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
330,training,a2c,7,7,1.4555103262630267,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
335,training,a2c,7,8,0.3779689437514815,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
340,training,a2c,7,9,0.926942992620176,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
345,training,a2c,7,10,3.530568395695438,00753443252cb2e74dcea2cb0b82712d,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:7'}",8fd30e9e3ac142eb630843abeeb09434
350,training,a2c,8,1,1.1527544427495937,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
355,training,a2c,8,2,0.18981094987727865,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
360,training,a2c,8,3,-0.03484156388697701,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
365,training,a2c,8,4,0.36119073735632057,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
370,training,a2c,8,5,0.08437761606415228,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
375,training,a2c,8,6,1.346691350816061,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
380,training,a2c,8,7,1.7931923316849119,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
