account_rewards,date
-48.44893131253775,2024-07-19
6.597992324852385,2024-07-22
-100.40626325609628,2024-07-23
-773.3727405548561,2024-07-24
-4.720000076340511,2024-07-25
-4.120973300887272,2024-07-26
-31.118114471435547,2024-07-29
-52.10302286152728,2024-07-30
-1.0859999656677246,2024-07-31
-156.08573293685913,2024-08-01
-5.275000095367432,2024-08-02
0.0,2024-08-05
5.021041965461336,2024-08-06
-10.985038185142912,2024-08-07
83.01991987228394,2024-08-08
6.992183113121428,2024-08-09
-91.01015262608416,2024-08-12
143.00786266324576,2024-08-13
145.98402671818621,2024-08-14
22.96278638835065,2024-08-15
142.96072101593018,2024-08-16
138.94338960642926,2024-08-19
152.93037767405622,2024-08-20
10.916274642921053,2024-08-21
167.91390895843506,2024-08-22
474.90221366879996,2024-08-23
-301.1317138671875,2024-08-26
-33.11120653152466,2024-08-27
-137.10987033846322,2024-08-28
232.89648933405988,2024-08-29
-134.1144201278221,2024-08-30
-181.1083051681053,2024-09-03
187.9013204574585,2024-09-04
-661.1084196090233,2024-09-05
-392.0781754493946,2024-09-06
-289.0607253074413,2024-09-09
-451.04737873072736,2024-09-10
232.96691713330802,2024-09-11
754.9618539810181,2024-09-12
166.93050460820086,2024-09-13
433.927659416222,2024-09-16
118.91088552470319,2024-09-17
897.9068817138905,2024-09-18
-1153.1239531517494,2024-09-19
-67.08436346054077,2024-09-20
440.916389083839,2024-09-23
-1331.097400569939,2024-09-24
-109.05803871154785,2024-09-25
1034.9430119514,2024-09-26
-1369.0863193512196,2024-09-27
934.9548267364735,2024-09-30
38.925100803375244,2024-10-01
-1313.0717487335205,2024-10-02
754.9602817535633,2024-10-03
-173.05883598327637,2024-10-04
-221.05583925242536,2024-10-07
-46.051029968308285,2024-10-08
412.9517019272316,2024-10-09
280.94397220609244,2024-10-10
