account_rewards,date
9353.684880146058,2024-02-14
1260.0209003372584,2024-02-15
-14921.092989109107,2024-02-16
219.96869359596167,2024-02-20
14123.642076999648,2024-02-21
-8971.90979621699,2024-02-22
-12876.35286048986,2024-02-23
-1566.2220734709408,2024-02-26
-8865.453539165552,2024-02-27
1740.632797428174,2024-02-28
-5111.227573600714,2024-02-29
-974.3834297293797,2024-03-01
-6603.77689906687,2024-03-04
-8798.602540420485,2024-03-05
3701.1063620625064,2024-03-06
2757.0143419570522,2024-03-07
-6128.7637410011375,2024-03-08
4533.735938512953,2024-03-11
1891.2059956130106,2024-03-12
4651.691583763226,2024-03-13
-10210.319043503841,2024-03-14
-9183.494663467398,2024-03-15
-4799.350740108406,2024-03-18
10501.638581481879,2024-03-19
14561.609248758294,2024-03-20
5910.413689504727,2024-03-21
-5078.421960394015,2024-03-22
-4348.272192626842,2024-03-25
4446.566766399308,2024-03-26
-2160.350479267072,2024-03-27
-2861.8996016883757,2024-03-28
-15893.5458267231,2024-04-01
-1639.3742975922069,2024-04-02
7249.312783789588,2024-04-03
-21797.432078018086,2024-04-04
12806.16178948211,2024-04-05
1408.5423649101285,2024-04-08
-16358.440738340374,2024-04-09
7820.380619407748,2024-04-10
-7505.076584365917,2024-04-11
5728.76091976359,2024-04-12
-26722.070640142425,2024-04-15
7606.849306358374,2024-04-16
-3256.4306737891166,2024-04-17
-9131.741466721403,2024-04-18
-398.18578239821363,2024-04-19
5708.1099051589845,2024-04-22
2257.5477571067167,2024-04-23
-16210.063859714428,2024-04-24
152.04990347102284,2024-04-25
6704.132269523572,2024-04-26
-3764.22741741559,2024-04-29
-13147.823540943209,2024-04-30
1472.2912590847118,2024-05-01
18311.540288211894,2024-05-02
-4085.8504177399445,2024-05-03
-710.231382663711,2024-05-06
-792.0777547874022,2024-05-07
1243.5446517963428,2024-05-08
3874.705158234574,2024-05-09
3737.8622581940144,2024-05-10
-3900.0561782378936,2024-05-13
