account_rewards,date
3012.568655014038,2024-04-23
-1713.4816513061523,2024-04-24
-15571.45984535222,2024-04-25
436.8215803146595,2024-04-26
-4431.18435211177,2024-04-29
-4614.108448028564,2024-04-30
2180.9833967208397,2024-05-01
1985.9378871917725,2024-05-02
696.9084850311046,2024-05-03
-150.11536464688834,2024-05-06
-5235.10973243718,2024-05-07
-331.9985656738281,2024-05-08
1837.0052452087402,2024-05-09
-1353.0295667648315,2024-05-10
2592.9976713180076,2024-05-13
3264.9307825088035,2024-05-14
1046.8620000839,2024-05-15
1759.8460714339744,2024-05-16
-843.2099674225319,2024-05-17
503.8117269516224,2024-05-20
-269.1968402862549,2024-05-21
-1705.1876125335693,2024-05-22
-4179.144450759864,2024-05-23
2271.9696647643577,2024-05-24
-1601.0981504439842,2024-05-28
-861.047755241394,2024-05-29
28.979732513427734,2024-05-30
2507.9822572708363,2024-05-31
-843.1050600052113,2024-06-03
-1395.073672485305,2024-06-04
780.9695819854969,2024-06-05
-813.0529399871593,2024-06-06
776.9730163573986,2024-06-07
546.9480518341297,2024-06-10
1652.9197040557628,2024-06-11
-2487.145824432373,2024-06-12
-201.0341394424904,2024-06-13
101.96939773554914,2024-06-14
1296.9652370453114,2024-06-17
-820.0995798110962,2024-06-18
518.9456480026711,2024-06-20
489.9133138656616,2024-06-21
-707.1118026733166,2024-06-24
-93.07206001284067,2024-06-25
-311.0630386353005,2024-06-26
425.95790081028827,2024-06-27
188.92481689457782,2024-06-28
-58.09016075136606,2024-07-01
256.91422882082406,2024-07-02
248.88690128328744,2024-07-03
1300.8593286514515,2024-07-05
1389.6981750488048,2024-07-08
-351.5030986785423,2024-07-09
291.5560764312977,2024-07-10
-507.50232849118765,2024-07-11
275.6230915070046,2024-07-12
-71.47003059391864,2024-07-15
168.5641220093239,2024-07-16
-3.608000183128752,2024-07-17
