account_value,date,daily_return
1000000.0,2024-01-26,
999948.5818778991,2024-01-29,-5.1418122100854724e-05
999936.2106948852,2024-01-30,-1.2371819149592511e-05
999601.844152832,2024-01-31,-0.0003343878724232363
999829.5878852844,2024-02-01,0.00022783444606933045
999750.2721221924,2024-02-02,-7.932928176268561e-05
999517.9714813232,2024-02-05,-0.00023235866730608734
999569.7107631683,2024-02-06,5.176423368191685e-05
999717.4396644592,2024-02-07,0.00014779249481078338
999560.1523124694,2024-02-08,-0.00015733180771815292
999385.8783287047,2024-02-09,-0.00017435067150439743
1000305.6234966277,2024-02-12,0.0009203103504533683
999833.2852291106,2024-02-13,-0.00047219395394970665
1000894.9848323821,2024-02-14,0.0010618766337910923
1002206.6009098052,2024-02-15,0.0013104432505901542
1001107.1255966185,2024-02-16,-0.0010970545516149066
1001470.7218643187,2024-02-20,0.00036319416614238875
1001840.2979396819,2024-02-21,0.0003690333299761761
1002195.8513130187,2024-02-22,0.0003549002511358257
999246.3847625732,2024-02-23,-0.0029430041509165283
999982.0696262359,2024-02-26,0.0007362397051229319
999452.7196262359,2024-02-27,-0.0005293594916134792
997666.3916049957,2024-02-28,-0.0017873061788338251
997501.1483070373,2024-02-29,-0.00016562981308065883
999992.9135044097,2024-03-01,0.002498007347261133
1002138.5740303039,2024-03-04,0.0021456757312157126
1002888.1494106292,2024-03-05,0.0007479757787496322
1001182.6905265807,2024-03-06,-0.0017005474489361072
1005714.2945358275,2024-03-07,0.004526250855239278
1008290.7377658843,2024-03-08,0.0025618043255972722
1000576.0946815489,2024-03-11,-0.00765120891760751
1004260.715250015,2024-03-12,0.0036824991003197027
1002496.1994842527,2024-03-13,-0.0017570295631080812
998267.7525127409,2024-03-14,-0.004217918206260718
995611.4336631773,2024-03-15,-0.0026609282358138753
997847.1865268706,2024-03-18,0.0022456078627655085
994818.8769775389,2024-03-19,-0.0030348430002313798
997552.6581878661,2024-03-20,0.0027480190350157585
997548.3591876982,2024-03-21,-4.309547102732125e-06
994658.0536415098,2024-03-22,-0.0028974089522255664
989213.8262001036,2024-03-25,-0.005473466405338523
993555.7428306579,2024-03-26,0.004389259951241176
996029.5484714507,2024-03-27,0.0024898508801780572
1001271.2833171843,2024-03-28,0.005262629862515356
1003598.9187309264,2024-04-01,0.0023246800867300355
1001974.4869842528,2024-04-02,-0.001618606513374532
990332.0995994566,2024-04-03,-0.011619444941993962
986520.9531448362,2024-04-04,-0.003848351937861927
980564.8860881804,2024-04-05,-0.006037446075188857
977081.9555744169,2024-04-08,-0.0035519633256072547
974128.0908115385,2024-04-09,-0.003023149435956829
973971.2920372008,2024-04-10,-0.00016096319962100036
970899.489243698,2024-04-11,-0.00315389459485782
966973.7373477934,2024-04-12,-0.00404341740766867
963460.0807075499,2024-04-15,-0.0036336629471248605
964721.4741897582,2024-04-16,0.0013092327408956717
963765.836081314,2024-04-17,-0.0009905844681717957
959886.2243419647,2024-04-18,-0.004025471327271601
958200.6991573334,2024-04-19,-0.00175596351097429
954008.169052124,2024-04-22,-0.004375419584744966
