account_value,date,daily_return
951296.5622869199,2024-05-15,
961130.8760752996,2024-05-16,0.010337800196331903
956448.8748243612,2024-05-17,-0.00487134621047336
954183.435280168,2024-05-20,-0.002368594499741805
959340.2990574241,2024-05-21,0.005404478412205815
962035.9727839332,2024-05-22,0.0028099244128050316
969613.989441934,2024-05-23,0.007877061640503502
935889.8003787856,2024-05-24,-0.034781046303342444
929380.772107057,2024-05-28,-0.006954908867576215
914472.7032484774,2024-05-29,-0.01604086215898426
911500.503596746,2024-05-30,-0.0032501786452162618
897380.7666190085,2024-05-31,-0.015490651866917893
915952.2823789439,2024-06-03,0.020695246043556104
902925.0360313087,2024-06-04,-0.01422262556494791
910111.6013548904,2024-06-05,0.007959204847358459
921408.687375032,2024-06-06,0.012412857943271405
919591.1447109161,2024-06-07,-0.0019725694895430523
911453.5761173873,2024-06-10,-0.008849115871039537
908961.6687798514,2024-06-11,-0.0027339926056912933
926276.8362867332,2024-06-12,0.019049392401909282
937586.8158076721,2024-06-13,0.012210150440853607
940445.408632669,2024-06-14,0.0030488833426420836
935184.3354962821,2024-06-17,-0.005594235548489812
950665.1252225394,2024-06-18,0.016553730787248533
958882.0562965485,2024-06-20,0.008643349646475729
964959.6289149413,2024-06-21,0.006338185784668937
965575.276588863,2024-06-24,0.000638003555251343
964044.0814120289,2024-06-25,-0.0015857854006405825
962423.2603184239,2024-06-26,-0.0016812728015829226
970459.5043980251,2024-06-27,0.008350010240756767
982349.0045846992,2024-06-28,0.012251412998473432
978931.8195121856,2024-07-01,-0.00347858557046965
971492.2822351509,2024-07-02,-0.007599648033447259
976817.2864584165,2024-07-03,0.005481262507833984
983050.5936457983,2024-07-05,0.006381241685414318
990863.8308488269,2024-07-08,0.007947950241352197
991307.2608870798,2024-07-09,0.0004475186442853829
974759.1814394231,2024-07-10,-0.01669318898446126
980268.5211764227,2024-07-11,0.005652000865346007
969185.159119843,2024-07-12,-0.011306455136678828
979805.4104542499,2024-07-15,0.01095791782867539
996239.6132944808,2024-07-16,0.016772925179716847
994461.3820644851,2024-07-17,-0.001784943307077791
1002146.0654091497,2024-07-18,0.007727482920162565
976302.1698189493,2024-07-19,-0.025788551671506177
981281.8573012187,2024-07-22,0.005100559679379613
985283.392388682,2024-07-23,0.004077865149233029
965781.5612294279,2024-07-24,-0.019793118720873415
956530.0094515997,2024-07-25,-0.009579341902170024
960449.1496013504,2024-07-26,0.0040972474580256435
966832.4588604294,2024-07-29,0.0066461709729541685
968370.7900890614,2024-07-30,0.00159110424410569
980121.5509690891,2024-07-31,0.012134567667976714
976164.1671577565,2024-08-01,-0.004037645950565771
939374.52038302,2024-08-02,-0.03768797095047527
938435.1550341547,2024-08-05,-0.0009999902365697144
940567.6112772655,2024-08-06,0.0022723533231587822
953491.177042282,2024-08-07,0.01374017732490973
942372.7832129648,2024-08-08,-0.011660720200690533
959780.2013802278,2024-08-09,0.01847190249692221
966897.619668886,2024-08-12,0.007415675254003773
976881.9238064382,2024-08-13,0.010326123401742882
986849.0207714498,2024-08-14,0.010202970002940237
