account_rewards,date
-2255.5630784702953,2024-05-15
450.6452529639937,2024-05-16
-4642.373001991189,2024-05-17
-5758.460733667365,2024-05-20
2242.459601282142,2024-05-21
80.15992488479242,2024-05-22
-10030.82148361206,2024-05-23
1453.2323093414307,2024-05-24
-12133.854209899902,2024-05-28
2937.4354567584815,2024-05-29
17559.78877775569,2024-05-30
-7861.093669418362,2024-05-31
-7106.557817861554,2024-06-03
9340.611772140604,2024-06-04
921.1510097769788,2024-06-05
1844.3619287147885,2024-06-06
-2775.517234802246,2024-06-07
3583.295030593872,2024-06-10
11860.068380355835,2024-06-11
-1620.3044052124023,2024-06-12
-5650.992597579956,2024-06-13
711.8665523529053,2024-06-14
9376.511350631714,2024-06-17
-362.8701992034912,2024-06-18
6351.594261169434,2024-06-20
614.6323528289795,2024-06-21
1605.547077178955,2024-06-24
-7406.340919494629,2024-06-25
7083.689594268799,2024-06-26
1571.1616916656494,2024-06-27
-4596.767433166504,2024-06-28
-8254.743963241577,2024-07-01
12520.177207946777,2024-07-02
-2189.2759284973145,2024-07-03
6077.97220993042,2024-07-05
1264.100564956665,2024-07-08
-394.1633758544922,2024-07-09
5420.6965408325195,2024-07-10
363.54529190063477,2024-07-11
-3080.241455078125,2024-07-12
-938.7571964263916,2024-07-15
1881.2998352050781,2024-07-16
2092.677444458008,2024-07-17
-8292.420394897461,2024-07-18
8233.487316131592,2024-07-19
-1093.1192054748535,2024-07-22
-8376.99733543396,2024-07-23
-9193.212610244751,2024-07-24
-739.8858871459961,2024-07-25
13208.776636123657,2024-07-26
-3048.1330432891846,2024-07-29
8814.62142944336,2024-07-30
-5262.604148864746,2024-07-31
-22595.472421646118,2024-08-01
-906.7827708782861,2024-08-02
29804.705180170247,2024-08-05
11749.950068473816,2024-08-06
-15521.570850372314,2024-08-07
16816.42749118805,2024-08-08
8432.221254348755,2024-08-09
5997.746824264526,2024-08-12
14367.482358932495,2024-08-13
